id,order_id,payment_method,amount
1,154,mastercard,65
2,542,mastercard,44
3,764,visa,88
4,472,americanexpress,37
5,760,visa,68
6,5,mastercard,98
7,609,visa,22
8,617,americanexpress,59
9,511,americanexpress,33
10,783,americanexpress,59
11,660,mastercard,54
12,513,mastercard,89
13,69,visa,96
14,434,visa,14
15,765,americanexpress,21
16,662,americanexpress,32
17,532,visa,19
18,857,visa,61
19,751,visa,76
20,587,visa,10
21,334,mastercard,12
22,9,visa,15
23,878,visa,79
24,803,mastercard,61
25,648,americanexpress,57
26,581,americanexpress,41
27,868,visa,7
28,612,americanexpress,36
29,195,americanexpress,82
30,328,mastercard,45
31,484,mastercard,67
32,40,mastercard,50
33,849,visa,70
34,339,mastercard,72
35,690,visa,86
36,239,visa,69
37,369,americanexpress,7
38,631,visa,48
39,58,mastercard,53
40,818,americanexpress,98
41,624,americanexpress,61
42,493,mastercard,69
43,51,visa,81
44,626,mastercard,32
45,268,americanexpress,46
46,865,visa,55
47,324,visa,72
48,162,visa,90
49,748,americanexpress,29
50,53,mastercard,43
51,824,visa,20
52,846,visa,50
53,10,visa,96
54,119,mastercard,2
55,858,americanexpress,82
56,1000,mastercard,78
57,757,americanexpress,40
58,502,visa,52
59,819,visa,86
60,928,mastercard,59
61,957,mastercard,78
62,632,visa,17
63,366,visa,36
64,833,americanexpress,2
65,599,mastercard,80
66,451,visa,32
67,913,americanexpress,17
68,520,visa,34
69,321,americanexpress,13
70,726,americanexpress,50
71,503,americanexpress,82
72,968,mastercard,93
73,979,mastercard,59
74,231,americanexpress,83
75,317,americanexpress,97
76,300,visa,16
77,66,visa,7
78,834,visa,97
79,859,americanexpress,95
80,527,mastercard,39
81,783,visa,92
82,374,mastercard,100
83,452,americanexpress,38
84,151,americanexpress,65
85,318,visa,71
86,359,mastercard,63
87,44,mastercard,60
88,283,americanexpress,59
89,380,americanexpress,56
90,94,americanexpress,33
91,130,mastercard,4
92,835,americanexpress,29
93,977,mastercard,48
94,962,mastercard,38
95,170,visa,73
96,585,americanexpress,16
97,236,visa,73
98,90,americanexpress,34
99,858,visa,21
100,612,americanexpress,48
101,133,visa,83
102,785,mastercard,35
103,329,visa,85
104,1000,mastercard,10
105,387,americanexpress,97
106,199,americanexpress,8
107,871,mastercard,43
108,429,americanexpress,5
109,912,americanexpress,16
110,118,americanexpress,91
111,927,mastercard,86
112,737,visa,24
113,582,visa,51
114,860,americanexpress,23
115,59,visa,20
116,700,americanexpress,68
117,112,americanexpress,55
118,761,mastercard,2
119,832,visa,100
120,848,visa,64
121,364,mastercard,64
122,628,americanexpress,85
123,177,americanexpress,91
124,35,mastercard,37
125,939,mastercard,20
126,156,americanexpress,72
127,868,mastercard,42
128,875,americanexpress,19
129,353,mastercard,87
130,684,visa,93
131,770,mastercard,76
132,421,americanexpress,100
133,389,mastercard,79
134,460,americanexpress,8
135,777,mastercard,90
136,534,americanexpress,81
137,542,mastercard,86
138,878,visa,74
139,696,americanexpress,39
140,494,mastercard,81
141,456,americanexpress,85
142,674,mastercard,42
143,175,americanexpress,35
144,814,visa,34
145,658,mastercard,22
146,873,visa,28
147,692,americanexpress,36
148,382,americanexpress,81
149,842,mastercard,76
150,94,mastercard,99
151,276,americanexpress,53
152,263,americanexpress,46
153,11,visa,53
154,850,visa,78
155,964,visa,5
156,461,mastercard,8
157,835,mastercard,36
158,936,americanexpress,70
159,572,mastercard,50
160,233,visa,31
161,555,americanexpress,14
162,583,visa,2
163,267,americanexpress,37
164,961,americanexpress,31
165,194,americanexpress,11
166,950,mastercard,95
167,765,americanexpress,84
168,874,mastercard,100
169,551,americanexpress,29
170,560,visa,97
171,236,mastercard,16
172,861,americanexpress,16
173,809,americanexpress,42
174,613,mastercard,43
175,543,americanexpress,83
176,194,mastercard,35
177,657,americanexpress,10
178,633,mastercard,80
179,787,mastercard,82
180,56,mastercard,22
181,357,mastercard,81
182,574,visa,90
183,407,mastercard,27
184,269,visa,12
185,467,americanexpress,87
186,388,americanexpress,16
187,996,visa,11
188,217,visa,18
189,507,americanexpress,12
190,751,visa,78
191,126,mastercard,42
192,656,visa,88
193,319,visa,76
194,225,americanexpress,67
195,889,visa,30
196,204,mastercard,21
197,188,mastercard,44
198,955,mastercard,67
199,53,mastercard,83
200,65,mastercard,26
201,718,americanexpress,20
202,767,americanexpress,51
203,119,mastercard,25
204,901,visa,63
205,431,mastercard,26
206,92,americanexpress,61
207,794,mastercard,46
208,996,americanexpress,60
209,714,mastercard,85
210,584,americanexpress,61
211,628,americanexpress,66
212,793,visa,48
213,425,visa,9
214,447,visa,98
215,282,visa,49
216,936,mastercard,89
217,570,mastercard,70
218,844,mastercard,71
219,359,americanexpress,51
220,469,americanexpress,23
221,682,americanexpress,24
222,43,americanexpress,51
223,270,americanexpress,40
224,110,americanexpress,84
225,56,visa,96
226,392,visa,73
227,240,americanexpress,9
228,406,americanexpress,75
229,779,americanexpress,100
230,931,mastercard,27
231,205,americanexpress,64
232,739,visa,21
233,414,americanexpress,3
234,771,visa,50
235,180,americanexpress,61
236,876,visa,26
237,396,visa,97
238,872,visa,82
239,889,mastercard,55
240,85,mastercard,79
241,678,mastercard,52
242,455,mastercard,69
243,175,visa,83
244,426,mastercard,24
245,114,mastercard,94
246,615,mastercard,47
247,447,mastercard,13
248,700,americanexpress,81
249,893,mastercard,27
250,473,mastercard,98
251,254,mastercard,20
252,343,americanexpress,42
253,354,americanexpress,9
254,949,mastercard,65
255,867,visa,3
256,543,americanexpress,79
257,310,americanexpress,7
258,760,americanexpress,31
259,900,mastercard,57
260,633,visa,99
261,953,mastercard,16
262,572,visa,43
263,399,mastercard,34
264,336,americanexpress,5
265,573,mastercard,73
266,806,americanexpress,62
267,583,americanexpress,80
268,964,americanexpress,75
269,12,americanexpress,85
270,652,americanexpress,88
271,793,visa,4
272,407,visa,94
273,764,visa,55
274,722,mastercard,88
275,125,americanexpress,32
276,697,visa,50
277,604,visa,25
278,439,americanexpress,26
279,44,americanexpress,65
280,461,mastercard,72
281,741,mastercard,88
282,626,mastercard,95
283,898,mastercard,93
284,108,mastercard,19
285,492,visa,77
286,463,americanexpress,59
287,286,americanexpress,76
288,943,americanexpress,66
289,120,americanexpress,17
290,541,americanexpress,5
291,196,mastercard,99
292,665,mastercard,84
